data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc, valid_acc, valid_auc
       lol, gbdt_ntree300_lr0.05_md10_msl1, champion_one_team_sparse, 345.33, 0.76667, 0.85647, 0.53420, 0.54761, 0.53241, 0.54233
       lol, gbdt_ntree300_lr0.02_md10_msl1, champion_one_team_sparse, 365.33, 0.68143, 0.75933, 0.53809, 0.54951, 0.53132, 0.54431
       lol, gbdt_ntree300_lr0.01_md10_msl1, champion_one_team_sparse, 370.33, 0.63451, 0.69997, 0.53768, 0.54814, 0.53148, 0.54348
       lol, gbdt_ntree300_lr0.1_md3_msl3, champion_one_team_sparse, 60.33, 0.56483, 0.59460, 0.54488, 0.56039, 0.53907, 0.55616
       lol, gbdt_ntree300_lr0.05_md3_msl3, champion_one_team_sparse, 63.00, 0.55518, 0.58063, 0.54378, 0.55816, 0.53794, 0.55418
       lol, gbdt_ntree300_lr0.02_md3_msl3, champion_one_team_sparse, 57.67, 0.54413, 0.56471, 0.53872, 0.55199, 0.53589, 0.54850
       lol, gbdt_ntree300_lr0.01_md3_msl3, champion_one_team_sparse, 60.67, 0.53465, 0.55398, 0.53275, 0.54584, 0.53036, 0.54254
       lol, gbdt_ntree300_lr0.1_md6_msl3, champion_one_team_sparse, 130.33, 0.64357, 0.70442, 0.54152, 0.55468, 0.53669, 0.55048
       lol, gbdt_ntree300_lr0.05_md6_msl3, champion_one_team_sparse, 140.67, 0.61050, 0.66061, 0.54097, 0.55705, 0.53604, 0.55155
       lol, gbdt_ntree300_lr0.02_md6_msl3, champion_one_team_sparse, 125.67, 0.57906, 0.61764, 0.53951, 0.55394, 0.53575, 0.55072
       lol, gbdt_ntree300_lr0.01_md6_msl3, champion_one_team_sparse, 140.67, 0.56207, 0.59382, 0.53601, 0.54972, 0.53232, 0.54586
       lol, gbdt_ntree300_lr0.1_md10_msl3, champion_one_team_sparse, 320.00, 0.81655, 0.90314, 0.53523, 0.54466, 0.53176, 0.54207
       lol, gbdt_ntree300_lr0.05_md10_msl3, champion_one_team_sparse, 317.33, 0.73808, 0.82355, 0.53520, 0.54818, 0.53369, 0.54474
       lol, gbdt_ntree300_lr0.02_md10_msl3, champion_one_team_sparse, 337.33, 0.66371, 0.73453, 0.53913, 0.55085, 0.53333, 0.54602
       lol, gbdt_ntree300_lr0.01_md10_msl3, champion_one_team_sparse, 348.67, 0.62125, 0.68053, 0.53823, 0.54827, 0.53187, 0.54378
       lol, gbdt_ntree300_lr0.1_md3_msl5, champion_one_team_sparse, 59.67, 0.56480, 0.59390, 0.54358, 0.56021, 0.54029, 0.55712
       lol, gbdt_ntree300_lr0.05_md3_msl5, champion_one_team_sparse, 59.33, 0.55509, 0.58032, 0.54412, 0.55756, 0.53876, 0.55474
